ID;CLIENTES POTENC;SUCURSAL;PRODUCTOS;ARTICULOS VISIBLES;ACCESO;PUERTAS;SEGMENTO
1;5;32;149;230;NO;6;B
2;1;16;52;104;NO;0;C
3;3;8;40;76;NO;2;C
4;5;24;122;258;NO;7;B
5;3;19;60;190;NO;1;B
6;2;14;69;107;NO;3;C
7;4;26;116;189;NO;3;B
8;3;19;87;138;NO;2;B
9;3;14;56;90;NO;1;C
10;3;30;136;150;NO;5;B
11;2;30;111;92;NO;4;A
12;2;19;86;166;NO;4;B
13;2;15;61;124;NO;3;C
14;6;21;77;72;NO;7;B
15;7;16;52;55;NO;5;B
16;2;18;69;78;NO;4;C
17;4;21;74;77;NO;3;B
18;4;20;81;108;NO;2;B
19;3;15;77;146;NO;2;B
20;5;18;80;100;NO;4;B
21;3;30;160;292;NO;8;B
22;4;24;111;178;NO;4;B
23;5;27;121;162;NO;7;B
24;2;15;51;42;NO;2;C
25;3;23;110;195;NO;4;B
26;3;16;81;190;NO;3;B
27;3;34;177;321;NO;5;B
28;2;8;31;56;NO;1;C
29;6;27;134;237;NO;7;B
30;3;26;117;215;NO;4;B
31;3;22;102;132;NO;0;B
32;3;11;59;107;NO;2;C
33;4;17;84;170;NO;6;B
34;3;34;167;169;NO;7;B
35;3;18;66;112;NO;3;C
36;2;18;40;34;NO;1;C
37;2;17;60;91;NO;2;C
38;3;30;148;244;NO;5;B
39;5;29;156;278;NO;11;B
40;3;23;106;162;NO;4;B
41;4;13;53;103;NO;2;B
42;2;18;67;61;NO;1;C
43;3;23;116;199;NO;3;B
44;3;19;75;194;NO;3;B
45;2;12;30;44;NO;2;C
46;3;22;93;108;NO;2;B
47;2;13;45;83;NO;1;C
48;2;9;16;7;NO;1;C
49;2;10;21;13;NO;2;C
50;3;24;117;165;NO;5;B
51;3;6;17;16;NO;0;C
52;2;12;31;23;NO;1;C
53;2;18;68;68;NO;2;C
54;3;23;113;219;NO;5;B
55;3;18;54;87;NO;2;C
56;5;29;121;268;NO;7;B
57;1;13;45;85;NO;1;C
58;4;21;73;103;NO;4;B
59;2;13;66;97;NO;4;C
60;3;21;76;57;NO;1;C
61;3;22;78;110;NO;2;C
62;2;19;64;90;NO;1;C
63;1;13;47;43;NO;1;C
64;3;16;53;79;NO;3;C
65;2;15;65;109;NO;4;C
66;4;16;55;43;NO;5;B
67;1;18;71;122;NO;2;C
68;2;9;32;52;NO;2;C
69;3;17;87;162;NO;3;B
70;2;15;74;97;NO;2;C
71;3;14;73;116;NO;3;C
72;2;15;64;76;NO;1;C
73;3;7;14;9;NO;2;C
74;4;15;42;50;NO;1;B
75;3;6;23;42;NO;1;C
76;3;23;102;144;NO;4;B
77;3;25;87;116;NO;2;C
78;1;11;26;40;NO;2;C
79;2;12;20;8;NO;0;C
80;3;11;47;92;NO;2;C
81;3;11;46;101;NO;4;C
82;3;23;90;99;NO;3;B
83;1;14;34;23;NO;0;C
84;3;19;70;98;NO;2;C
85;4;16;62;92;NO;3;B
86;2;15;35;41;NO;2;C
87;5;12;30;27;NO;2;B
88;2;10;29;35;NO;1;C
89;4;8;15;20;NO;1;B
90;2;23;114;193;NO;2;A
91;3;24;106;184;NO;3;B
92;2;23;76;119;NO;4;C
93;3;19;76;120;NO;1;C
94;2;9;25;38;NO;0;C
95;2;14;66;119;NO;2;C
96;2;15;52;74;NO;1;C
97;1;7;19;11;NO;0;C
98;2;7;17;21;NO;0;C
99;1;8;26;47;NO;0;C
100;2;13;40;43;NO;1;C
101;1;12;42;53;NO;1;C
102;2;5;8;8;NO;1;C
103;3;21;87;89;NO;3;C
104;5;24;105;139;NO;4;B
105;3;25;120;197;NO;4;B
106;3;23;66;56;NO;3;C
107;2;22;51;32;NO;1;C
108;7;25;111;132;NO;6;B
109;4;16;57;50;NO;2;B
110;2;9;20;15;NO;2;C
111;3;15;58;80;NO;4;C
112;2;14;34;39;NO;1;C
113;2;12;30;37;NO;0;C
114;2;15;37;48;NO;1;C
115;2;14;45;69;NO;2;C
116;3;21;88;123;NO;3;C
117;2;11;32;37;NO;1;C
118;5;20;87;135;NO;5;B
119;2;19;45;38;NO;2;C
120;1;19;49;41;NO;2;C
121;2;25;132;212;NO;5;A
122;2;24;71;95;NO;4;C
123;2;5;9;12;NO;1;C
124;1;6;13;9;NO;0;C
125;1;14;38;52;NO;2;C
126;1;16;45;54;NO;2;C
127;2;14;55;82;NO;3;C
128;1;7;26;33;NO;1;C
129;1;6;27;38;NO;2;C
130;2;22;98;149;NO;2;B
131;1;12;36;45;NO;0;C
132;2;13;53;68;NO;2;C
133;1;6;29;47;NO;2;C
134;1;12;37;47;NO;2;C
135;1;10;32;30;NO;1;C
136;1;13;37;58;NO;4;C
137;1;5;10;5;NO;0;C
138;1;15;43;54;NO;2;C
139;1;12;28;38;NO;1;C
140;2;5;16;33;NO;1;C
141;2;12;37;47;NO;2;C
142;5;15;56;116;NO;6;B
143;2;2;6;7;NO;3;C
144;2;1;3;5;NO;2;C
145;1;14;52;84;NO;2;C
146;2;10;26;30;NO;2;C
147;1;6;14;14;NO;1;C
148;1;12;38;60;NO;2;C
149;2;25;73;75;NO;3;C
150;2;20;90;115;NO;3;B
151;2;19;77;79;NO;4;C
152;4;17;73;93;NO;4;B
153;5;22;94;100;NO;4;B
154;6;26;103;122;NO;5;B
155;2;8;22;22;NO;1;C
156;3;21;80;68;NO;2;C
157;3;25;120;124;NO;6;B
158;4;29;146;146;NO;7;B
159;3;25;83;69;NO;3;C
160;3;13;49;57;NO;2;C
161;4;20;81;84;NO;5;B
162;5;36;179;174;NO;5;B
163;2;13;55;57;NO;1;C
164;4;13;43;38;NO;3;B
165;3;9;22;16;NO;1;C
166;7;21;107;106;NO;5;B
167;3;10;34;27;NO;2;C
168;3;19;83;107;NO;3;C
169;3;13;38;31;NO;1;C
170;4;16;53;42;NO;2;B
171;3;32;130;93;NO;3;B
172;4;23;102;180;NO;5;B
173;3;9;29;22;NO;3;C
174;5;31;135;119;NO;2;B
175;2;10;22;21;NO;1;C
177;1;6;15;8;NO;0;C
178;1;3;5;4;NO;1;C
179;2;19;69;64;NO;1;C
180;4;14;46;52;NO;1;B
181;5;18;71;116;NO;7;B
182;4;24;96;118;NO;3;B
183;5;17;37;38;NO;5;B
184;1;14;48;69;NO;0;C
185;2;22;84;112;NO;6;C
186;2;10;27;49;NO;3;C
187;4;32;180;205;NO;4;B
188;3;36;211;270;NO;3;A
189;6;37;222;288;NO;6;A
190;2;37;219;312;NO;2;A
191;3;33;205;252;NO;1;A
192;8;44;280;463;NO;8;A
193;3;34;205;259;NO;3;A
194;3;39;194;174;NO;1;B
195;3;32;190;221;NO;2;B
196;4;28;138;118;NO;4;B
197;4;42;261;344;NO;5;A
198;2;16;90;113;NO;2;B
199;2;36;199;237;NO;1;A
200;4;33;163;172;NO;2;B
201;3;36;205;262;NO;4;A
202;5;43;259;328;NO;5;A
203;3;29;165;189;NO;2;B
204;5;41;219;219;NO;6;A
205;3;26;153;213;NO;4;B
206;2;21;102;171;NO;0;B
207;1;21;128;339;NO;0;C
208;2;22;160;552;NO;0;B
209;2;22;126;308;NO;5;A
210;3;24;156;471;NO;3;B
211;1;23;128;312;NO;0;C
212;2;22;124;274;NO;1;A
213;1;18;84;118;NO;0;C
214;2;24;144;448;NO;0;B
215;1;26;121;313;NO;0;C
216;5;24;147;450;NO;0;B
217;1;18;53;54;NO;1;C
218;2;21;66;56;NO;4;C
219;1;9;23;24;NO;1;C
220;1;7;14;16;NO;1;C
221;1;16;44;38;NO;2;C
222;2;22;96;137;NO;4;B
223;2;26;72;56;NO;5;C
224;3;21;81;58;NO;3;C
225;1;18;43;29;NO;3;C
226;2;14;45;40;NO;2;C
227;4;25;107;136;NO;4;B
228;1;16;50;60;NO;2;C
229;3;30;118;131;NO;4;B
230;2;12;48;57;NO;1;C
231;1;27;79;59;NO;2;C
232;1;26;95;160;NO;3;C
233;1;22;54;37;NO;2;C
234;1;8;14;10;NO;1;C
235;1;6;21;52;NO;2;C
236;2;18;64;43;NO;1;C
237;3;22;88;83;NO;3;C
238;1;17;53;33;NO;0;C
239;3;18;55;38;NO;2;C
240;2;31;122;106;NO;3;A
241;1;14;37;27;NO;2;C
242;2;7;21;24;NO;1;C
243;1;4;9;12;NO;0;C
244;3;12;32;25;NO;1;C
245;3;30;119;195;NO;6;B
246;4;25;108;256;NO;6;B
247;3;29;126;165;NO;4;B
248;5;9;32;56;NO;6;B
249;2;15;39;38;NO;2;C
250;3;8;28;35;NO;1;C
251;3;21;67;40;NO;1;C
252;2;15;48;103;NO;3;C
253;3;18;72;78;NO;1;C
254;3;9;55;76;NO;1;C
255;4;20;74;103;NO;4;B
256;2;18;43;46;NO;2;C
257;4;31;135;198;NO;2;B
258;1;4;10;38;NO;0;C
259;2;21;45;0;NO;0;C
260;2;12;27;39;NO;3;C
261;1;4;10;20;NO;1;C
262;6;22;103;131;NO;9;B
263;2;19;87;130;NO;4;B
264;2;25;107;140;NO;4;B
265;3;9;40;155;NO;2;B
266;3;22;106;142;NO;4;B
267;5;26;176;325;NO;3;B
268;5;24;109;232;NO;3;B
269;2;33;123;292;NO;1;A
270;6;33;227;394;NO;4;A
271;2;34;145;439;NO;1;A
272;5;33;170;254;NO;2;B
273;2;28;134;250;NO;1;A
274;2;4;11;81;NO;1;C
275;1;20;40;85;NO;0;C
276;2;22;68;313;NO;0;B
277;2;19;89;246;NO;4;B
278;6;40;286;620;NO;6;A
279;2;16;75;170;NO;1;B
280;3;27;122;379;NO;2;B
281;3;30;182;479;NO;2;B
282;4;24;141;297;NO;2;B
283;3;17;85;224;NO;2;B
284;4;41;223;814;NO;3;A
285;2;24;127;236;NO;2;A
286;3;41;286;731;NO;9;A
287;5;28;191;585;NO;10;B
288;3;19;84;266;NO;3;B
289;5;28;173;491;NO;4;B
290;6;24;171;295;NO;5;B
291;5;39;267;526;NO;2;A
292;7;42;299;530;NO;9;A
293;4;39;223;268;NO;3;A
294;3;36;217;394;NO;5;A
295;1;26;111;129;NO;0;C
296;4;33;203;280;NO;2;A
297;2;15;54;63;NO;2;C
298;3;40;270;751;NO;4;A
299;5;41;253;615;NO;2;A
300;2;27;55;123;NO;0;C
301;4;30;130;332;NO;3;B
302;5;39;264;341;NO;4;A
303;2;33;129;181;NO;0;B
304;3;27;154;180;NO;2;B
305;5;26;97;438;NO;3;B
306;4;30;203;396;NO;4;A
307;4;37;249;481;NO;3;A
308;2;23;126;159;NO;1;A
309;5;34;210;417;NO;2;A
310;2;32;149;251;NO;1;A
311;3;32;110;221;NO;3;B
312;5;47;328;1248;NO;9;A
313;3;21;95;245;NO;2;B
314;2;25;82;376;NO;1;B
315;3;32;161;246;NO;2;B
316;4;39;191;334;NO;2;B
317;2;35;184;423;NO;1;A
318;1;20;62;265;NO;0;C
319;4;37;210;423;NO;3;A
320;5;39;184;409;NO;4;B
321;3;30;121;462;NO;1;B
322;1;16;24;60;NO;0;C
323;3;32;116;477;NO;2;B
324;5;34;170;554;NO;3;B
325;3;33;219;324;NO;2;A
326;4;16;68;318;NO;1;B
327;5;41;265;490;NO;4;A
328;4;13;65;175;NO;2;B
329;3;16;71;190;NO;1;B
330;4;34;203;324;NO;3;A
331;3;30;178;252;NO;1;B
332;3;26;86;218;NO;2;B
333;3;34;135;586;NO;2;B
334;3;39;246;446;NO;1;A
335;5;36;170;677;NO;2;B
336;2;24;60;307;NO;0;B
337;2;23;78;293;NO;1;B
338;4;29;166;349;NO;3;B
339;2;22;91;300;NO;1;B
340;1;30;80;256;NO;0;C
341;5;36;201;315;NO;3;A
342;3;39;238;417;NO;2;A
343;2;33;155;274;NO;1;A
344;3;28;108;357;NO;2;B
345;2;33;183;254;NO;0;B
346;2;24;80;332;NO;0;B
347;4;34;183;589;NO;2;B
348;1;25;80;275;NO;0;C
349;6;38;209;406;NO;3;A
350;3;30;180;306;NO;2;B
351;3;28;172;442;NO;2;B
352;4;14;72;161;NO;2;B
353;5;36;241;374;NO;4;A
354;3;35;186;437;NO;2;B
355;2;13;81;153;NO;0;B
356;3;20;121;184;NO;2;B
357;4;18;55;241;NO;2;B
358;4;27;109;311;NO;2;B
359;2;25;136;220;NO;1;A
360;1;23;71;227;NO;0;C
361;4;22;129;256;NO;3;B
362;3;19;121;219;NO;1;B
363;2;25;114;331;NO;1;A
364;4;28;164;368;NO;2;B
365;4;20;75;94;NO;3;B
366;2;24;136;171;NO;1;A
367;2;33;154;192;NO;0;B
368;3;30;190;276;NO;2;B
369;4;12;42;171;NO;2;B
370;4;35;203;401;NO;3;A
371;4;37;213;639;NO;4;A
372;2;18;108;178;NO;1;B
373;2;20;84;201;NO;1;B
374;1;35;100;148;NO;0;C
375;1;28;68;255;NO;0;C
376;5;38;257;373;NO;4;A
377;3;26;71;409;NO;0;B
378;4;35;186;365;NO;3;B
379;4;30;184;529;NO;3;B
380;5;38;263;423;NO;5;A
381;3;24;88;456;NO;3;B
382;4;34;167;453;NO;2;B
383;2;33;142;332;NO;1;A
384;3;28;139;284;NO;2;B
385;3;22;123;253;NO;3;B
386;2;35;149;682;NO;3;A
387;4;34;163;279;NO;2;B
